ZipCode,CAAGI,Population,CAAGI_per_capita
92124,1056281148,30530,34598.13783164101
92126,2823997159,74788,37760.030472803126
92127,4224292073,52274,80810.57644335616
92128,3664388110,49083,74656.97104903938
92129,3048641512,52415,58163.53166078412
92130,7626722060,61595,123820.47341504993
92131,2780646701,36394,76403.98694839809
92134,1145859,396,2893.5833333333335
92135,1683617,1610,1045.724844720497
92136,6259897,7014,892.4860279441118
92139,810512562,35771,22658.370244052443
92140,1065111,2183,487.9115895556574
92145,8010196,6057,1322.4692091794618
92147,503338,256,1966.1640625
92154,1964282018,84027,23376.795768026943
92155,1155335,210,5501.5952380952385
92173,785875505,29703,26457.782210551122
92179,73788,3824,19.29602510460251
92182,384738,27,14249.555555555555
92201,1092437034,66989,16307.707743062294
92203,890535934,31366,28391.759676082384
92210,443161923,4757,93159.95858734497
92211,945803792,26403,35821.83054955876
92220,606106566,32947,18396.411387986765
92222,836442,64,13069.40625
92223,1721327663,59924,28725.179610840398
92225,242558185,21104,11493.469721379834
92227,577175005,27492,20994.28942965226
92230,31791199,2650,11996.67886792453
92231,682838390,39542,17268.68620707096
92233,57493187,7019,8191.07949850406
92234,953396602,51509,18509.320740064843
92236,595845822,42220,14112.880672666983
92239,2979240,292,10202.876712328767
92240,540425065,40920,13206.868646138808
92241,101420741,9270,10940.748759439051
92242,8749205,1231,7107.3964256701865
92243,951558955,49149,19360.698183075954
92249,125083998,6975,17933.189677419356
92250,178500699,7883,22643.75225168083
92251,586562262,25851,22690.11883486132
92252,149152758,8463,17624.099964551577
92253,1441547854,37422,38521.40061995618
92254,141596895,12414,11406.226437892701
92256,66119546,3517,18799.98464600512
92257,15747444,1676,9395.849642004774
92258,8586986,1236,6947.399676375405
92259,3860129,328,11768.685975609756
92260,967905451,31641,30590.22948073702
92262,883063869,26593,33206.62839845072
92264,775596746,19254,40282.36968941519
92266,2553490,198,12896.414141414141
92267,1342614,86,15611.790697674418
92268,14950354,489,30573.321063394684
92270,1058429069,16999,62264.19607035708
92273,22159915,1694,13081.413813459269
92274,213448496,19251,11087.657576229807
92275,9722420,1390,6994.546762589928
92276,123589259,7953,15539.954608323904
92277,280888670,23988,11709.54935801234
92278,3974809,6371,623.8909119447496
92281,29719267,2122,14005.309613572103
92282,17508738,1350,12969.435555555556
92283,15276504,2695,5668.46159554731
92284,460370339,25931,17753.66700088697
92285,21705736,2769,7838.835680751174
92301,483884463,38912,12435.353181537828
92305,18016453,581,31009.385542168675
92307,974551881,41649,23399.16639054959
92308,927764115,42469,21845.678377169228
92309,7023813,452,15539.409292035398
92310,41303958,8102,5097.99530980005
92311,488943181,34524,14162.414001853784
92313,369885764,13150,28128.194980988592
92314,199961847,10411,19206.78580347709
92315,200428823,5148,38933.3378010878
92316,575977306,31463,18306.496710421765
92317,129502262,1089,118918.51423324151
92320,329354019,10036,32817.25976484655
92321,37285090,1310,28461.90076335878
92322,12302031,1441,8537.14850798057
92324,1177624825,58626,20087.0744209054
92325,257420475,9892,26023.0969470279
92327,6313035,484,13043.460743801654
92328,6397341,640,9995.8453125
92332,1029442,97,10612.80412371134
92333,17579172,510,34468.964705882354
92335,1583407075,96605,16390.529216914238
92336,2908648039,100594,28914.726912141876
92337,876782147,36394,24091.39272957081
92339,30138591,1053,28621.643874643876
92341,8275110,458,18067.92576419214
92342,164109713,6955,23595.932854061826
92344,542504359,23166,23418.128248294914
92345,1506056750,86499,17411.26197990728
92346,1582584961,57812,27374.67932263198
92347,8167675,888,9197.832207207208
92350,1241234,258,4810.984496124031
92352,191205095,7038,27167.53267973856
92354,740375289,22626,32722.32338902148
92356,71653880,6050,11843.61652892562
92358,20114398,834,24117.983213429256
92359,227298073,8900,25539.109325842695
92363,63145219,5634,11207.88409655662
92364,648580,40,16214.5
92365,24457141,2214,11046.585817524841
92368,12651436,858,14745.263403263403
92369,8103544,1481,5471.670492910196
92371,208364489,16345,12747.903884980116
92372,115564613,5594,20658.672327493743
92373,1890274888,35348,53476.14824035306
92374,1338741257,43587,30714.23261522931
92376,1474567438,84548,17440.595141221555
92377,546729878,20734,26368.760393556477
92378,18600013,677,27474.169867060562
92382,140361315,5721,24534.402202412166
92384,1123166,24,46798.583333333336
92385,16812111,221,76072.90045248868
92386,38167831,2477,15408.894226887363
92389,654408,123,5320.390243902439
92391,50160656,2239,22403.15140687807
92392,1115013020,62294,17899.20409670273
92394,581143497,41057,14154.553352656063
92395,1049105338,47556,22060.42009420473
92397,197519047,5485,36010.76517775752
92398,25710958,1234,20835.460291734198
92399,1678324807,55794,30080.73998996308
92401,16891270,2016,8378.60615079365
92404,1018764642,64270,15851.324754940097
92405,490850907,32165,15260.40438364682
92407,1430153079,67814,21089.348497360428
92408,261896650,13488,19417.011417556347
92410,625290344,51651,12106.064626047899
92411,363374395,27014,13451.336159028651
92415,1275159,2,637579.5
92501,450386650,22017,20456.313303356495
92503,2272287737,90011,25244.55607647954
92504,1425159814,54642,26081.765198931225
92505,1041764768,50919,20459.254266580254
92506,1993681068,45185,44122.630696027445
92507,1222946871,63191,19353.181165039325
92508,1290206139,35415,36431.064210080476
92509,1621286940,78166,20741.587646802956
92518,31856619,806,39524.341191067
92530,1203832086,59098,20370.09858201631
92532,720308922,27560,26136.02764876633
92536,74699422,3737,19989.141557398983
92539,59283366,4966,11937.850583971003
92543,486151125,39323,12363.022277038883
92544,952963148,50007,19056.595036694864
92545,753233032,44072,17090.96551098203
92548,102497464,7408,13836.050755939525
92549,118488509,4234,27985.004487482285
92551,610114522,34294,17790.707470694582
92553,1205054797,76761,15698.78971092091
92555,1056529951,43580,24243.45917852226
92557,1181626890,54549,21661.75163614365
92561,57657974,1648,34986.63470873787
92562,2358912972,64270,36703.17367356465
92563,2122172835,73224,28981.929900032777
92567,198525219,9729,20405.51125501079
92570,973389191,59015,16493.928509700923
92571,1068617278,59450,17975.059343986544
92582,414009980,21161,19564.764425121684
92583,477535834,34674,13772.158793332179
92584,1662696904,55517,29949.32910639984
92585,627655491,24887,25220.21501185358
92586,432540785,22188,19494.356634216692
92587,600037680,17529,34231.14153688174
92590,260364337,4840,53794.28450413223
92591,1369953719,42021,32601.64486804217
92592,2955396832,79740,37062.91487333835
92595,889971227,34405,25867.496788257522
92596,932197018,31081,29992.50403783662
92602,1953925313,29581,66053.38943916703
92603,2493456392,20137,123824.62094651637
92604,1375316564,27151,50654.36131265883
92606,1086152639,23383,46450.525552752
92610,757968058,12545,60419.93288162615
92612,1605319937,31822,50446.85868267236
92614,1541604206,28456,54175.01426764127
92617,420699024,25232,16673.233354470514
92618,3834369957,57488,66698.61461522404
92620,3276934559,64424,50865.12105736992
92624,399849918,7170,55767.073640167364
92625,3493126426,12017,290682.06923525006
92626,2288022825,50885,44964.583374275324
92627,2225620974,61764,36034.27520885953
92629,2238192792,25939,86286.78021512009
92630,2733128304,66359,41187.00257689236
92637,524840608,17644,29746.12378145545
92646,2796947167,56788,49252.4330316264
92647,2162086494,60455,35763.5678438508
92648,3169233973,46691,67876.76368036667
92649,2541757458,34082,74577.70840913092
92651,3701356497,24096,153608.75236553786
92653,2064460257,30077,68639.16803537587
92655,144670388,8878,16295.3804911016
92656,2876689205,53473,53797.04159108335
92657,2941647887,10294,285763.34631824365
92660,5337517729,36259,147205.32085826967
92661,393675557,3457,113877.80069424356
92662,369532223,2490,148406.51526104417
92663,2532045946,20812,121662.78810301749
92672,2247211976,41067,54720.626683224975
92673,2394469020,29642,80779.60394035491
92675,2487493577,35203,70661.40888560635
92676,161741225,1997,80992.10065097647
92677,4401019728,64355,68386.6013207987
92678,18952455,651,29112.83410138249
92679,3187565170,31016,102771.63947639927
92683,2213705625,90946,24340.879477931958
92688,2178037871,44688,48738.76367257429
92691,2147507852,47918,44816.30810968738
92692,2608521228,46434,56176.96575784985
92694,2871696183,36637,78382.40530065235
92701,793489023,48789,16263.686958125807
92703,1013696072,65621,15447.738864083145
92704,1677515852,82841,20249.826197172897
92705,2758021675,45902,60085.000108927714
92706,946245484,35621,26564.25939754639
92707,1163204079,56456,20603.728195408814
92708,2228234792,57192,38960.602741642186
92780,1677683284,56034,29940.451939893635
92782,1901611988,29266,64976.83277523406
92801,1222040549,63163,19347.411443408324
92802,804290162,41914,19189.057641838048
92804,1740020661,86127,20202.963774426138
92805,1571654803,74633,21058.443356156124
92806,1019325381,40649,25076.272011611603
92807,2205399502,37627,58612.15355994366
92808,1198380265,20056,59751.708466294374
92821,1842235552,41335,44568.41785411879
92823,334002922,6010,55574.52945091514
92831,1181575932,38953,30333.374374245886
92832,660226351,26277,25125.636526239676
92833,1664730980,52598,31650.081371915283
92835,1516666900,25450,59593.98428290766
92840,1175569345,54365,21623.642876850914
92841,787486854,34376,22908.04206423086
92843,845906975,45480,18599.537708883025
92844,442394702,23668,18691.680834882543
92845,686699628,16520,41567.774092009684
92860,887965650,26376,33665.667652411285
92861,738009621,5843,126306.62690398768
92865,728000090,20859,34901.006280262714
92866,461748398,15935,28976.99391277063
92867,1984092431,44927,44162.584436975536
92868,1061389077,27127,39126.666310318134
92869,1829644636,36349,50335.4875237283
92870,1930119209,52749,36590.63127263076
92879,1187741128,47243,25141.102978218994
92880,1994218611,75365,26460.8055596099
92881,1293657069,31590,40951.474169040834
92882,1994035428,67894,29369.832798185405
92883,1375650479,34836,39489.33514180733
92886,3430170235,50001,68602.03265934682
92887,1442832785,20770,69467.15382763601
93001,1290907329,33859,38125.973271508316
93003,2057302048,50558,40691.91914237114
93004,1109956659,31942,34749.12838895498
93010,1961408624,46223,42433.607165264046
93012,2092418546,37550,55723.52985352863
93013,691261849,16299,42411.304313148044
93015,463765491,18789,24682.81925594763
93021,1805859824,38103,47394.16381912185
93022,257898602,6172,41785.25631885936
93023,965732747,20937,46125.65061852223
93030,1559159172,59011,26421.500601582757
93033,1410502510,79539,17733.47049874904
93035,1058067202,28070,37693.87965799786
93036,1237876648,48656,25441.397731009536
93040,46732154,1927,24251.247535028542
93041,458153285,22918,19990.9802338773
93042,949555,17,55856.17647058824
93043,682865,523,1305.6692160611856
93060,772495063,33859,22815.058418736524
93063,2133198234,55076,38731.90198997749
93064,915908,57,16068.561403508771
93065,3107349105,73943,42023.573631040126
93066,208871254,3141,66498.32983126392
93067,59151317,734,80587.62534059945
93101,1183687182,30513,38792.88113263199
93103,957079752,20029,47784.6997853113
93105,1667287871,26003,64119.05822405107
93106,11067393,5203,2127.117624447434
93108,3654675146,11243,325062.27394823445
93109,761188763,11041,68942.01277058237
93110,948745471,16317,58144.60201017344
93111,1164725326,18468,63067.214966428415
93117,1509367183,53430,28249.43258469025
93201,10717232,1260,8505.739682539683
93202,61762046,4154,14868.090033702456
93203,223943336,20777,10778.424989170717
93204,112594915,13720,8206.626457725948
93205,20148091,2081,9681.92743873138
93206,45806896,1940,23611.80206185567
93207,4641274,311,14923.710610932476
93210,280896528,18581,15117.406382864216
93212,240269936,23138,10384.21367447489
93215,638483723,53626,11906.234345280274
93218,13028753,979,13308.225740551583
93219,98846052,9324,10601.249678249678
93220,8645154,214,40397.91588785047
93221,372300650,15024,24780.394701810437
93222,50869417,2192,23206.85082116788
93223,135174477,10487,12889.718413273577
93224,7705662,388,19859.953608247422
93225,103134776,4775,21598.905968586387
93226,11562298,297,38930.2962962963
93227,23665658,137,172742.0291970803
93230,1458925778,68412,21325.582909431094
93234,61981888,6745,9189.308821349148
93235,54717459,4651,11764.66544829069
93238,39237000,1603,24477.230193387397
93239,16407295,1376,11923.90625
93240,93414477,5691,16414.42224565103
93241,169388532,15707,10784.270198000891
93242,66060895,3073,21497.199804751057
93243,28557707,1386,20604.406204906205
93244,10896469,229,47582.83406113537
93245,750754184,38045,19733.320646602708
93246,4339169,941,4611.231668437832
93247,235379439,18210,12925.83410214168
93249,34889734,2590,13470.93976833977
93250,173585979,14892,11656.324133763093
93251,3488201,250,13952.804
93252,18994285,1499,12671.304202801868
93254,11918743,780,15280.439743589744
93255,5460878,630,8668.060317460317
93256,58652319,5754,10193.312304483838
93257,1242716073,79569,15618.093390642085
93258,62953672,1921,32771.302446642374
93260,3519270,221,15924.298642533937
93261,26354870,2513,10487.41345005969
93262,707688,20,35384.4
93263,423759992,22341,18967.816659952554
93265,135245836,4117,32850.57954821472
93266,33702844,1521,22158.345825115055
93267,80406792,6119,13140.511848341232
93268,272214322,18502,14712.697113825532
93270,90159242,5637,15994.18875288274
93271,71593678,1930,37095.16994818653
93272,8476689,3468,2444.258650519031
93274,1702647967,78493,21691.717312371802
93276,2292227,177,12950.435028248588
93277,1237836211,53196,23269.347526129783
93280,346425768,28182,12292.447945497126
93283,25024075,1880,13310.678191489362
93285,32453016,2457,13208.39072039072
93286,152357065,9735,15650.443246019517
93287,2967102,221,13425.800904977375
93291,1697665268,63366,26791.422340056182
93292,970176466,43316,22397.646735617323
93301,279644157,14518,19261.892616062818
93304,619011216,50837,12176.39152585715
93305,408144950,38392,10630.989529068556
93306,1572184153,74623,21068.358991195742
93307,1065647990,88338,12063.302202902489
93308,1100069130,56037,19631.121045023825
93309,1469168098,61079,24053.5715712438
93311,2556227912,52466,48721.608508367324
93312,2022874386,58714,34453.01607793712
93313,1223200802,58322,20973.23140495868
