Zip Code,2019,2020,2021,2022,2023,2024,2025
90001,801.7077225584642,1683.5862173727749,2886.1478012104712,4168.880157304015,7295.540275282025,13468.689738982199,24772.768627056543
90002,1853.9464241510889,2612.379052212898,3118.000804254104,5056.21752041206,8258.488616673032,14073.138765146901,24775.465850019096
90003,1438.5944514652222,2247.8038304144097,2697.3645964972916,5664.465652644312,10879.370539205744,17712.69418366555,32458.287311184074
90004,6572.8010703162945,9070.465477036487,11541.838679475413,16905.24435285351,23583.210240294866,33968.23593139461,44458.42643961941
90005,2960.5112292717145,4836.891585852378,7046.850672491826,11925.439599601554,20640.183922387303,33691.451735937255,48827.58661235461
90006,4372.77870984336,4939.620394452685,6154.281147186952,11660.743226248962,19758.48157781074,37087.64165015295,59356.42211694784
90007,10212.452212791513,5606.836508983576,6808.301475194342,9912.085971238821,14117.213352976503,27032.96173974224,42551.88421996464
90008,4352.383117464391,6109.308412587631,8225.604790804262,13137.009593080593,20364.361375292105,27471.922796472485,39371.09865889807
90010,505.90648831461516,528.5590176421354,860.7961144457631,1525.2703080530189,2401.1681087171287,3443.1844577830525,4137.862023827002
90011,2243.154817979769,3678.773901486822,5383.571563151447,8523.988308323123,13548.655100597807,22611.000565236074,41184.32245810857
90012,39501.978549004554,30926.815945839866,33269.75654779743,42219.789647275335,49482.90551334379,67757.8422086128,97513.18785347388
90013,3889.9007791997265,2917.425584399795,5209.688543571062,8613.351725370823,11808.627365427741,14344.009123298993,17053.047165955944
90014,1383.3150200523005,2798.800156850003,4246.455410393108,5951.471597899432,7849.508485878171,9651.035023620701,11774.262728817255
90015,3913.232662222119,5819.67934381751,8528.840417663594,14549.198359543778,18462.431021765897,25385.842654928107,35653.89758913486
90016,4629.500143975145,7115.713184258094,9816.254934910263,16074.653277691476,23790.486850983383,38793.496576828766,54396.626691707956
90017,24639.459412864362,9886.92368225521,8291.002930395118,12105.642776304607,18100.076819876664,25028.708376732677,35032.40674814839
90018,5043.98343084668,7104.965907966829,8786.293718249057,14264.168196910505,19958.988199479336,31294.391823640155,45016.1962107822
90019,7490.0345180184595,12266.288413566463,15884.662576860404,24424.025602234105,37667.27503988993,52755.895300825665,70883.94985892832
90020,2889.762578256244,3792.813383961321,5839.728543559494,9150.914831144773,13395.253617958633,20920.676998834268,29529.761346556
90021,1008.765990911809,1588.8064356860991,2017.531981823618,2521.9149772795226,3429.8043691001503,4766.419307058297,6556.978940926758
90022,1954.6651462494474,3139.3106894309303,4146.259401135191,6397.085933180009,9240.23523681557,15281.927507041133,24581.39502101578
90023,1808.0147221675795,2938.023923522317,3540.695497578177,5122.70837947481,8362.068090025055,15066.789351396497,21394.84087898303
90024,5298.757970370981,6961.788069296939,8383.965533206034,11411.827230560879,15747.174660864412,20759.203303834365,26103.83796658951
90025,4117.883561138967,6181.624739798355,7631.042962949834,11537.753008132955,15559.648607473811,21405.315480978777,27193.38957740488
90026,9593.537028953691,14339.813243278148,17907.935787380222,25246.15007619392,35243.62550636671,46385.59307332696,59580.91417981766
90027,7534.700681237931,10451.359009459065,12821.14390113874,17641.731971393117,23272.502910597806,31171.78588286338,39233.105428919014
90028,4553.710335996273,7507.468391777638,10584.29969988323,15548.25421029358,25024.894639258797,35157.925747286536,52101.01015058799
90029,3419.047146781363,4455.122039745413,5594.804422005867,9428.281525972849,13779.796076421857,21446.750284355825,31134.050533569683
90031,3394.16585184177,5727.654874982985,7849.008532384093,10978.005177050723,18190.607612214484,29115.578947830178,38025.264308914826
90032,7311.602175574546,7686.556133296317,9655.064411335617,13873.296435705548,20622.467674697436,30886.83226733093,42322.92797784497
90033,2011.889807884444,2630.932825695042,3636.8777296372646,6577.332064237606,9517.786398837947,16482.020349207178,22749.830904539485
90034,7531.927988346321,10139.998575355794,13085.319669306145,18908.511755818676,27721.99167054034,40739.86123845831,55736.26711376278
90035,4281.0409572751705,5621.192909117833,7370.835735134641,11596.0370277497,15672.332547937796,22298.639420937627,32666.203826164885
90036,4270.779981726659,6556.3145813225665,8624.973634971417,13846.669472004402,19418.702729413402,28277.234644635497,37085.71835694672
90037,2549.1533739601477,3516.073619255376,3603.9754597367605,6680.539876585214,11427.239262579973,19953.71778927426,33754.30674485161
90038,3603.810125765392,5447.619957552337,6998.096407009541,11523.811448668404,17683.812477592972,25268.57564926199,34739.05342162221
90039,5869.833450973268,9307.878757971896,10901.119266093212,14171.455045921175,18993.10395207779,26267.504693105373,31990.59230780431
90040,1277.5896641897075,1570.3706288998487,1623.6035315744198,2049.466752970989,3114.124806462412,4551.413178675833,6201.633161587538
90041,4103.807643476359,6649.20732107562,8623.190744519945,11843.900540665947,16908.726429766517,23064.437894981056,28337.051512865237
90042,8792.606407949148,13081.682704509707,15726.613087388718,23018.042791541673,34098.15655765645,47930.427614064254,59832.614337019804
90043,4464.439939437828,7733.047752240523,10284.156289062137,15984.289426022935,24554.419666908052,36074.26915349316,51181.61501998366
90044,2296.8375536907897,3445.2563305361846,5003.824670540649,10253.73907897674,17882.520953735435,27644.080556921293,47741.4091517157
90045,7641.941417317607,10112.776979498822,12901.291399674761,19801.982148338004,45463.37434413431,124671.30293748633,153138.85837890272
90046,9358.756511763433,13308.32348003057,17755.879326905302,25019.64814245747,33725.86750294198,42878.55965114366,54246.44370763428
90047,2365.692509524847,3926.042888147619,6342.069280853846,10972.78653354078,17667.192996664286,27834.63739930299,43639.47671825622
90048,3791.874301838363,5037.176194324024,6464.376116049165,9052.9249936879,12439.026768761272,16958.49318755755,22667.29287445811
90049,4828.6597077535735,6153.38100977602,7503.3832526767565,9889.904071587423,12908.448412455364,16559.016275280577,20512.955428645284
90056,1458.1133033286676,2228.1281938505476,2572.1774002539414,3620.7083150071403,5078.821618335808,7175.883447842206,9272.945277348603
90057,13550.946610143355,7400.162333198854,8841.752398107721,12589.886566870777,18932.882852469793,30081.1793544317,44785.39801650215
90058,488.6073715222796,562.9606671887134,499.22927090319865,701.045359140662,945.3490449018018,1423.3345170431621,1678.260102185221
90059,1334.3361052986475,1255.845746163433,2825.6529288677243,4395.460111572015,8476.958786603172,14128.26464433862,26451.251028567305
90061,983.4523681829027,1361.7032790224803,2345.1556472053835,4312.060383571188,7035.46694161615,11952.728782530663,18685.59499547515
90062,430.9728708835998,1847.026589501142,2770.539884251713,5602.647321486797,9111.997841538967,14160.537186175421,23765.07545158136
90063,5336.944697941016,4447.4539149508455,6988.856152065615,10165.608948459076,15057.808254905007,24969.276979652608,36151.44682295759
90064,3657.558794877029,4773.038344351973,5789.870042512807,8165.006770306396,11177.56038351424,14736.471327077157,19092.153377407893
90065,8964.393045254488,13262.389710787464,16301.687352842924,23086.382089148545,31068.375896566926,43133.46653624163,56180.95641375244
90066,8925.167556743665,12834.122520505458,15971.352469962349,22111.599322910057,30936.107095179166,45984.74487412478,60110.66796205367
90067,201.90429676940812,254.44061888797862,275.04309815016313,329.6396681949521,457.375039620496,574.8091714149477,679.8818156520887
90068,6448.355465965689,8922.544613578424,11071.996435566985,14721.42542829577,19267.747987034167,23674.897406219352,29458.31453876412
90069,1970.5564385424268,2816.703151345947,3185.8275562602344,4508.996576952987,5951.421174618049,7603.962741234321,9830.066844717407
90071,72.11394684861907,102.47771394277444,91.09130128246618,64.5230050750802,68.31847596184964,87.29583039569675,106.27318482954387
90073,2023.3856689818867,1011.6928344909434,0.0,0.0,0.0,0.0,1011.6928344909434
90077,1468.1496134167933,1877.6631554380947,2213.115737732139,2892.733956405788,3929.587392587381,4905.4494501700565,6042.503008335585
90079,11.183407178768862,11.183407178768862,11.183407178768862,0.0,11.183407178768862,11.183407178768862,22.366814357537724
90089,39969.874354701366,8478.458196451806,8478.458196451806,6661.645725783562,7267.249882672976,11506.478980898879,11506.478980898879
90094,3159.637875661319,4506.368773484176,5464.6196046273635,7614.20930692154,10139.329740339397,12780.994193761155,15008.279909391267
90095,79.89106700728532,10.07424012115328,10.542809429113898,10.30852477513359,13.82279458483822,17.805633702503474,20.85133420424749
90201,2967.0716343674444,3744.1618243208227,5157.05307878151,9537.015967609643,17025.339616251287,31719.40866264244,51782.464475984205
90210,2673.480414882862,3148.7658219731484,3787.430587750721,5294.976488365224,7441.187154757299,8937.593553643123,10575.100307758876
90211,1026.1887064684972,1198.965376435132,1314.149823079555,1952.899936289538,3005.266926086313,3602.1317859710516,4560.256955786025
90212,1005.9273812448521,1157.26158904275,1482.1850351970609,2091.972872500356,2959.9190642824183,4037.062543314517,5252.187211809404
90220,3573.592888141839,3633.15276961087,3633.15276961087,5658.188739557912,8576.622931540413,16617.206929859552,29065.22215688696
90221,1730.788341359194,2196.769817878977,3062.163988558574,5924.621630037241,9119.923183315754,14046.01307795346,23765.055302508936
90222,490.74701808901534,771.1738855684526,1542.3477711369053,3014.5888254039514,6029.177650807903,11357.288132917212,17947.319518683988
90230,4744.947462864347,6961.849146333754,9023.178781840397,12815.247450932806,17501.85539581111,23666.3977963357,30764.37248463687
90232,3191.960332222521,4407.1736566727195,5670.995514100925,8879.158690649449,11034.1369860078,13513.172167886205,17742.114536972895
90240,2659.1474940857415,4248.5230077921615,5776.768694048335,8558.17584303457,13417.9971253292,20325.667627207105,28028.025885938216
90241,3651.5232837304065,6457.4306491232455,8609.907532164329,13299.232170218113,20371.656214495953,32440.901594404873,45048.26619507407
90242,2272.0299223646693,4019.7452472605696,4587.752727851737,8913.348156969088,15205.123326594326,24817.557613521774,32594.89080930853
90245,3521.563839337106,3595.442801001521,3989.4639298783995,5208.466797341244,7030.81451839681,10786.328403004562,13310.526259872067
90247,3222.3351022421643,5201.769522190922,7779.637603984653,11646.43972667525,17768.87642093536,30888.383622921312,46033.358603459485
90248,5612.503032390575,2837.782432107594,3373.8080026168063,4256.673648161391,6905.270584795146,10310.60950332426,15103.308721994863
90249,2657.454208689039,3282.7375519099896,4845.9459099623655,7933.282417115809,13365.431461347815,21142.393042658387,28215.910862845387
90250,10386.21019318982,16511.411076353044,19396.46946335022,31602.485716030562,52508.06264334854,79671.99699476807,94274.83098433836
90254,4114.433083339825,4335.727293001529,5073.374658540541,6327.375179956863,8237.062248518972,11097.494810442477,13269.456497862902
90255,2179.858361246858,2724.822951558572,3746.631558393037,6948.298526474359,11989.22098685772,19959.32812016654,31812.307959446334
90260,2840.93796227302,4490.514843592838,5544.411184436055,8476.992306782397,12921.685570338574,19061.777295251228,29096.703323280122
90262,1998.8971066674326,2966.105384087158,4062.2747651628465,6319.094079142205,10510.329947961016,17474.229545383037,28306.96225248396
90263,24551.39982463286,3507.3428320904086,0.0,0.0,10522.028496271225,3507.3428320904086,15783.04274440684
90265,3993.0835096201217,3831.8243678854637,4753.305177797799,6143.205399415572,8362.43834995445,10005.745794298113,11887.102447869132
90266,7192.593933802166,7958.257159013365,9274.965887217471,11508.150294083467,14930.432891618368,18283.1097414068,21455.971742850175
90270,876.24861549302,876.24861549302,1078.4598344529477,2224.3234085592044,3909.416899891935,6740.373965330923,11930.461918635734
90272,2697.8958188152915,3399.141466983671,4065.8429945526227,5295.613687892243,6933.005004305109,8639.48456191683,10187.061164771185
90274,3967.0687884881304,5150.837495387791,6438.546869234739,7997.656873444047,11115.876881862665,14083.960371357423,16624.73223006889
90275,8555.050754638129,12522.257790217118,15199.51407189619,19775.188444220425,28391.085932533075,39087.94171251446,48081.08894960916
90277,6442.515168071131,8535.306719482773,10628.098270894414,14499.0787221983,19163.40499037719,25414.422892306076,31774.867803459103
90278,9210.920121370455,13026.392507412596,15816.56174125839,20069.048585613727,27447.869631748086,37465.58567615829,47231.17799461857
90280,3027.0168167629545,4424.10150142278,5995.821771665083,10710.982582391993,18045.677176856076,29164.14279227385,49189.023272398015
90290,1987.5005595925309,2746.6153566591224,3077.865449924544,3905.990683088099,5382.8140155631045,6528.387254772689,8074.221023344658
90291,5858.826945621309,7286.495120876158,8592.946186911255,11327.065428201198,14411.367429459313,18586.62341369519,23610.399162469323
90292,4382.721069287097,6340.958142798354,8380.788427705913,11574.579845218319,15199.649665825465,19955.36827292423,25853.391839571228
90293,1942.5792657067805,2877.8952084544894,3453.4742501453875,4863.6429022880875,6604.769503403054,8806.359337870737,10734.549127535245
90301,15784.973722610192,18941.96846713223,20663.965600507887,47354.92116783057,1098634.1710936693,2288534.190256248,1479482.5370919188
90302,2294.615508882447,3231.193267609977,4542.402129828519,7164.819854265601,11519.906432348613,16155.966338049884,27301.241666907485
90303,975.2320800771487,1548.898009534295,1893.0975672085829,3441.995576742878,5507.192922788604,10039.15376550006,18586.77611441154
90304,842.0974235180728,2396.7388207822073,2720.6224452122356,4534.370742020393,5700.351789968493,10558.606156418915,19497.794190687688
90305,1169.1788769257962,1984.061124480139,3011.5213496573538,4889.293485326058,8467.689441977736,12648.389668560887,18423.424727315578
90401,1828.3561722098539,1828.3561722098539,1454.5589103358393,2177.7753517877372,13318.558961119781,13416.071290304304,10848.246621778466
90402,1664.3402778605955,2051.2087201720174,2478.3759585575453,3046.588983202446,3977.4911725143047,4606.152391270365,5416.158192359904
90403,3871.2568485039706,5315.924127245978,6026.9713035018085,7990.815885541723,10857.577516795393,14322.521693153174,18058.34098427508
90404,5665.58773325215,6040.516333246778,6623.7385999050875,8789.992733207382,11497.810399835247,16392.711566431775,22204.1048663485
90405,4780.530554017514,6804.404803163616,8107.1284577863935,10759.101611839906,14120.59389921475,17831.03002264927,22460.351581040926
90501,10870.376824399244,10578.3368500124,13044.452189279094,17944.2339817695,25439.926657698532,36050.712393753915,59413.910344701544
90502,2543.9169427970105,3511.3219773817887,4084.599034913509,6449.366897231857,9853.199426326448,15442.650737260725,21211.251128673663
90503,6573.7658906776305,9052.398931424934,11078.41202560099,15108.884883163997,22609.443997773225,35002.609201509746,46404.32118894734
