Year,Zip Code,Total,BEVs,PHEVs,EV_Share,EV_PHEV_Total,EV_PHEV_Share
2019,90001,34709,10.0,46.0,0.0002881097121783975,56.0,0.0016134143881990262
2019,90002,30845,22.0,27.0,0.0007132436375425514,49.0,0.0015885881017993191
2019,90003,41260,16.0,39.0,0.0003877847794474067,55.0,0.0013330101793504604
2019,90004,34202,250.0,251.0,0.0073095140635050584,501.0,0.014648266183264137
2019,90005,17709,71.0,106.0,0.004009260827827659,177.0,0.009994917838387261
2019,90006,29177,54.0,86.0,0.0018507728690406828,140.0,0.004798300030846215
2019,90007,18282,102.0,49.0,0.005579258286839514,151.0,0.008259490208948693
2019,90008,19826,109.0,123.0,0.005497831130838293,232.0,0.011701805709674166
2019,90010,6931,67.0,44.0,0.009666714759774923,111.0,0.016015005049776366
2019,90011,57987,25.0,38.0,0.0004311311155948747,63.0,0.0010864504112990843
2019,90012,36113,843.0,173.0,0.02334339434552654,1016.0,0.028133912995320243
2019,90013,4967,112.0,62.0,0.022548822226696196,174.0,0.03503120595933159
2019,90014,3500,43.0,51.0,0.012285714285714285,94.0,0.026857142857142857
2019,90015,12174,117.0,107.0,0.009610645638245442,224.0,0.01839986857236734
2019,90016,31912,108.0,148.0,0.003384306843820506,256.0,0.008022060666833792
2019,90017,12485,633.0,97.0,0.05070084100921105,730.0,0.05847016419703644
2019,90018,31689,93.0,95.0,0.0029347723184701318,188.0,0.005932658020133169
2019,90019,39730,207.0,305.0,0.005210168638308583,512.0,0.01288698716335263
2019,90020,20284,96.0,129.0,0.004732794320646815,225.0,0.011092486689015973
2019,90021,3971,40.0,39.0,0.010073029463611181,79.0,0.019894233190632084
2019,90022,42550,33.0,51.0,0.0007755581668625147,84.0,0.001974148061104583
2019,90023,28618,24.0,44.0,0.0008386330281640926,68.0,0.0023761269131315956
2019,90024,20169,462.0,361.0,0.022906440577123308,823.0,0.04080519609301403
2019,90025,30716,429.0,407.0,0.013966662325823675,836.0,0.027217085558015365
2019,90026,38929,285.0,353.0,0.0073210203190423595,638.0,0.016388810398417632
2019,90027,29108,372.0,428.0,0.012779991754844029,800.0,0.02748385323622372
2019,90028,16616,111.0,110.0,0.006680308136735677,221.0,0.013300433317284545
2019,90029,19622,66.0,88.0,0.0033635715013760063,154.0,0.007848333503210682
2019,90031,24030,64.0,87.0,0.002663337494798169,151.0,0.00628381190178943
2019,90032,30790,156.0,127.0,0.005066580058460539,283.0,0.009191295875284184
2019,90033,25307,26.0,38.0,0.0010273837278223417,64.0,0.0025289445607934564
2019,90034,38290,335.0,377.0,0.008749020632018803,712.0,0.018594933402977278
2019,90035,19345,230.0,265.0,0.011889377100025847,495.0,0.02558800723701215
2019,90036,24931,256.0,368.0,0.010268340620111508,624.0,0.0250290802615218
2019,90037,35217,29.0,33.0,0.0008234659397450095,62.0,0.001760513388420365
2019,90038,16736,86.0,131.0,0.005138623326959847,217.0,0.01296606118546845
2019,90039,22128,280.0,364.0,0.012653651482284888,644.0,0.029103398409255243
2019,90040,12719,48.0,40.0,0.0037738815944649735,88.0,0.006918782923185785
2019,90041,19667,158.0,201.0,0.008033762139624753,359.0,0.018253927899527126
2019,90042,40108,246.0,297.0,0.006133439712775506,543.0,0.013538446195272764
2019,90043,30909,112.0,132.0,0.0036235400692354977,244.0,0.007894140865120192
2019,90044,53966,28.0,61.0,0.0005188451988288922,89.0,0.001649186524848979
2019,90045,136676,433.0,385.0,0.003168076326494776,818.0,0.005984957124879276
2019,90046,35008,545.0,581.0,0.015567870201096892,1126.0,0.03216407678244972
2019,90047,35034,47.0,83.0,0.0013415539190500658,130.0,0.003710681052691671
2019,90048,16087,271.0,291.0,0.01684590041648536,562.0,0.034935040716106175
2019,90049,28161,955.0,645.0,0.033912148006107735,1600.0,0.05681616419871453
2019,90056,7324,89.0,73.0,0.01215182960131076,162.0,0.022119060622610594
2019,90057,18739,141.0,53.0,0.007524414323069534,194.0,0.010352740274294253
2019,90058,5978,46.0,28.0,0.007694881231180997,74.0,0.012378721980595517
2019,90059,25307,17.0,28.0,0.0006717508989607619,45.0,0.001778164144307899
2019,90061,18187,13.0,22.0,0.0007147962830593281,35.0,0.0019244515313135756
2019,90062,21186,7.0,45.0,0.0003304068724629472,52.0,0.0024544510525818936
2019,90063,44215,84.0,153.0,0.0018998077575483434,237.0,0.00536017188736854
2019,90064,21917,482.0,394.0,0.0219920609572478,876.0,0.03996897385591094
2019,90065,34082,292.0,294.0,0.008567572325567749,586.0,0.017193826653365413
2019,90066,40319,532.0,594.0,0.01319477169572658,1126.0,0.02792727994245889
2019,90067,4669,196.0,91.0,0.041979010494752625,287.0,0.06146926536731634
2019,90068,16751,417.0,375.0,0.02489403617694466,792.0,0.04728075935765029
2019,90069,16615,347.0,276.0,0.02088474270237737,623.0,0.037496238338850435
2019,90071,767,19.0,20.0,0.024771838331160364,39.0,0.05084745762711865
2019,90073,90,2.0,0.0,0.022222222222222223,2.0,0.022222222222222223
2019,90077,7709,337.0,174.0,0.043715138150214036,511.0,0.06628615903489428
2019,90079,71,1.0,0.0,0.014084507042253521,1.0,0.014084507042253521
2019,90089,469,66.0,4.0,0.14072494669509594,70.0,0.14925373134328357
2019,90094,6518,244.0,135.0,0.037434795949677815,379.0,0.0581466707579012
